,summary,price,address,num_rooms,link
1,3 bed flat for sale,"£1,550,000","Medway Street, London SW1P","['3 beds', '2 baths', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63475255/?search_identifier=8528b9f2fd9c7a7e867aafae5f302953
2,3 bed flat for sale,"£780,000","Grand Union, Beresford Avenue, Alperton, London HA0","['3 beds', '2 baths', '1 reception', '1,125 sq. ft']",https://www.zoopla.co.uk/new-homes/details/63475243/?search_identifier=8528b9f2fd9c7a7e867aafae5f302953
3,1 bed flat for sale,"£437,500","Grand Union, Beresford Avenue, Alperton, London HA0","['1 bed', '1 bath', '1 reception', '434 sq. ft']",https://www.zoopla.co.uk/new-homes/details/63475239/?search_identifier=8528b9f2fd9c7a7e867aafae5f302953
4,1 bed flat for sale,"£498,000","Grand Union, Beresford Avenue, Alperton, London HA0","['1 bed', '1 bath', '1 reception', '522 sq. ft']",https://www.zoopla.co.uk/new-homes/details/63475240/?search_identifier=8528b9f2fd9c7a7e867aafae5f302953
5,2 bed flat for sale,"£705,000","Grand Union, Beresford Avenue, Alperton, London HA0","['2 beds', '2 baths', '1 reception', '813 sq. ft']",https://www.zoopla.co.uk/new-homes/details/63475241/?search_identifier=8528b9f2fd9c7a7e867aafae5f302953
6,3 bed flat for sale,"£844,000","Grand Union, Beresford Avenue, Alperton, London HA0","['3 beds', '2 baths', '1 reception', '1,087 sq. ft']",https://www.zoopla.co.uk/new-homes/details/63475242/?search_identifier=8528b9f2fd9c7a7e867aafae5f302953
7,2 bed flat for sale,"£450,000","Argyll Court, 82-84 Lexham Gardens, London W8","['2 beds', '2 baths', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63475235/?search_identifier=8528b9f2fd9c7a7e867aafae5f302953
8,2 bed flat for sale,"£299,950","Whitehaven Close, Bromley BR2","['2 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63475165/?search_identifier=8528b9f2fd9c7a7e867aafae5f302953
9,2 bed property for sale,"£110,000","8-18 Preston Road, Wembley HA9","['2 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63475061/?search_identifier=8528b9f2fd9c7a7e867aafae5f302953
10,1 bed flat for sale,"£450,000","Cosway Street, Marylebone, London NW1","['1 bed', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63475057/?search_identifier=8528b9f2fd9c7a7e867aafae5f302953
11,3 bed flat for sale,"£300,000","Westwood Hill, London SE26",['3 beds'],https://www.zoopla.co.uk/for-sale/details/63474895/?search_identifier=8528b9f2fd9c7a7e867aafae5f302953
12,3 bed terraced house for sale,"£715,000","Ranelagh Road, London N22","['3 beds', '2 baths', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63474861/?search_identifier=8528b9f2fd9c7a7e867aafae5f302953
13,1 bed flat for sale,"£280,000","Romberg Road, London SW17","['1 bed', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/58626874/?search_identifier=8528b9f2fd9c7a7e867aafae5f302953
14,3 bed maisonette for sale,"£325,000","Chislehurst Road, Orpington, Kent BR6","['3 beds', '1 bath']",https://www.zoopla.co.uk/for-sale/details/46418462/?search_identifier=8528b9f2fd9c7a7e867aafae5f302953
15,1 bed flat for sale,"£220,000","Plevna Road, London N9",['1 bed'],https://www.zoopla.co.uk/for-sale/details/63474770/?search_identifier=8528b9f2fd9c7a7e867aafae5f302953
