,summary,price,address,num_rooms,link
1,2 bed terraced house for sale,"£400,000","Elsa Road, Welling DA16","['2 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63473899/?search_identifier=4d7389722102d8fdfd4ad88e94643543
2,3 bed terraced house for sale,"£449,950","Capri Road, Addiscombe CR0","['3 beds', '1 bath', '2 receptions']",https://www.zoopla.co.uk/for-sale/details/63473908/?search_identifier=4d7389722102d8fdfd4ad88e94643543
3,3 bed semi-detached house for sale,"£825,000","Kingsmere Park, London NW9","['3 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63473888/?search_identifier=4d7389722102d8fdfd4ad88e94643543
4,3 bed semi-detached house for sale,"£500,000","Caistor Park Road, London E15","['3 beds', '1 bath', '1 reception', '1,195 sq. ft']",https://www.zoopla.co.uk/for-sale/details/63473878/?search_identifier=4d7389722102d8fdfd4ad88e94643543
5,3 bed terraced house for sale,"£425,000","Brimpsfield Close, London SE2","['3 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63473873/?search_identifier=4d7389722102d8fdfd4ad88e94643543
6,3 bed bungalow for sale,"£500,000","Crofton Road, Farnborough, Orpington BR6","['3 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63473778/?search_identifier=4d7389722102d8fdfd4ad88e94643543
7,2 bed semi-detached bungalow for sale,"£375,000","Dorian Road, Hornchurch RM12","['2 beds', '1 bath', '1 reception', '892 sq. ft']",https://www.zoopla.co.uk/for-sale/details/63473770/?search_identifier=4d7389722102d8fdfd4ad88e94643543
8,3 bed maisonette for sale,"£310,000","Phipps Bridge Road, Mitcham CR4","['3 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63473765/?search_identifier=4d7389722102d8fdfd4ad88e94643543
9,5 bed detached house for sale,"£1,600,000","Austin Avenue, Bromley BR2","['5 beds', '3 baths', '3 receptions']",https://www.zoopla.co.uk/for-sale/details/63473766/?search_identifier=4d7389722102d8fdfd4ad88e94643543
10,2 bed flat for sale,"£350,000","Cross Deep, Twickenham TW1","['2 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63473729/?search_identifier=4d7389722102d8fdfd4ad88e94643543
