,summary,price,address,num_rooms,link
1,3 bed terraced house for sale,"£429,500","Selwyn Avenue, London E4","['3 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63473639/?search_identifier=4d7389722102d8fdfd4ad88e94643543
2,3 bed terraced house for sale,"£281,000","Brimpsfield Close, London SE2","['3 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63473642/?search_identifier=4d7389722102d8fdfd4ad88e94643543
3,3 bed terraced house for sale,"£650,000","Selwyn Avenue, London E4","['3 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63473651/?search_identifier=4d7389722102d8fdfd4ad88e94643543
4,1 bed flat for sale,"£300,000","Gwendoline Avenue, London E13","['1 bed', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63473652/?search_identifier=4d7389722102d8fdfd4ad88e94643543
5,3 bed terraced house for sale,"£350,000","Bentry Road, Dagenham RM8","['3 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63473637/?search_identifier=4d7389722102d8fdfd4ad88e94643543
6,3 bed maisonette for sale,"£400,000","Dersingham Avenue, London E12","['3 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63473618/?search_identifier=4d7389722102d8fdfd4ad88e94643543
7,3 bed semi-detached house for sale,"£750,000","Courtfield Rise, West Wickham, Kent BR4","['3 beds', '2 baths', '2 receptions']",https://www.zoopla.co.uk/for-sale/details/63473511/?search_identifier=4d7389722102d8fdfd4ad88e94643543
8,2 bed terraced house for sale,"£995,000","Balham Grove, London SW12","['2 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63473502/?search_identifier=4d7389722102d8fdfd4ad88e94643543
9,2 bed flat for sale,"£1,350,000","10, Marsh Wall, London E14","['2 beds', '2 baths', '1 reception', '861 sq. ft']",https://www.zoopla.co.uk/for-sale/details/63473487/?search_identifier=4d7389722102d8fdfd4ad88e94643543
10,1 bed flat for sale,"£390,000","Biscayne Avenue, London E14","['1 bed', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63473484/?search_identifier=4d7389722102d8fdfd4ad88e94643543
