,summary,price,address,num_rooms,link
1,Studio for sale,"£335,000","Willesden Lane, Brondesbury Park, London NW6","['1 bath', '303 sq. ft']",https://www.zoopla.co.uk/for-sale/details/63472627/?search_identifier=4d7389722102d8fdfd4ad88e94643543
2,3 bed flat for sale,"£475,000","Ridley Road, Kensal Green, London NW10","['3 beds', '1 bath', '1 reception', '893 sq. ft']",https://www.zoopla.co.uk/for-sale/details/63472629/?search_identifier=4d7389722102d8fdfd4ad88e94643543
3,2 bed flat for sale,"£440,000","Shearwater Drive, Hendon, London NW9","['2 beds', '2 baths', '1 reception', '748 sq. ft']",https://www.zoopla.co.uk/for-sale/details/63472612/?search_identifier=4d7389722102d8fdfd4ad88e94643543
4,3 bed terraced house for sale,"£625,000","Lynmouth Road, Walthamstow, London E17","['3 beds', '1 bath', '2 receptions']",https://www.zoopla.co.uk/for-sale/details/63472605/?search_identifier=4d7389722102d8fdfd4ad88e94643543
5,1 bed flat for sale,"£230,000","Denbigh Close, Sutton SM1","['1 bed', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63472598/?search_identifier=4d7389722102d8fdfd4ad88e94643543
6,3 bed property for sale,"£925,000","Barneby Close, Twickenham TW2","['3 beds', '2 baths', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63472568/?search_identifier=4d7389722102d8fdfd4ad88e94643543
7,3 bed flat for sale,"£460,000","Dove Park, Hatch End, Pinner, Greater London HA5","['3 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63472578/?search_identifier=4d7389722102d8fdfd4ad88e94643543
8,1 bed flat for sale,"£489,000","Netherhall Gardens, Hampstead, London NW3","['1 bed', '1 bath', '1 reception', '466 sq. ft']",https://www.zoopla.co.uk/for-sale/details/63472544/?search_identifier=4d7389722102d8fdfd4ad88e94643543
9,2 bed flat for sale,"£350,000","Merlins Court, Rayners Lane, Harrow HA2","['2 beds', '1 bath', '1 reception', '606 sq. ft']",https://www.zoopla.co.uk/for-sale/details/63472545/?search_identifier=4d7389722102d8fdfd4ad88e94643543
10,3 bed town house for sale,"£775,000","Westchester Drive, London NW4","['3 beds', '2 baths', '2 receptions']",https://www.zoopla.co.uk/for-sale/details/63472540/?search_identifier=4d7389722102d8fdfd4ad88e94643543
