,summary,price,address,num_rooms,link
1,2 bed flat for sale,"£450,000","Argyll Court, 82-84 Lexham Gardens, London W8","['2 beds', '2 baths', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63475235/?search_identifier=4d7389722102d8fdfd4ad88e94643543
2,2 bed flat for sale,"£299,950","Whitehaven Close, Bromley BR2","['2 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63475165/?search_identifier=4d7389722102d8fdfd4ad88e94643543
3,2 bed property for sale,"£110,000","8-18 Preston Road, Wembley HA9","['2 beds', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63475061/?search_identifier=4d7389722102d8fdfd4ad88e94643543
4,1 bed flat for sale,"£450,000","Cosway Street, Marylebone, London NW1","['1 bed', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63475057/?search_identifier=4d7389722102d8fdfd4ad88e94643543
5,3 bed flat for sale,"£300,000","Westwood Hill, London SE26",['3 beds'],https://www.zoopla.co.uk/for-sale/details/63474895/?search_identifier=4d7389722102d8fdfd4ad88e94643543
6,3 bed terraced house for sale,"£715,000","Ranelagh Road, London N22","['3 beds', '2 baths', '1 reception']",https://www.zoopla.co.uk/for-sale/details/63474861/?search_identifier=4d7389722102d8fdfd4ad88e94643543
7,1 bed flat for sale,"£280,000","Romberg Road, London SW17","['1 bed', '1 bath', '1 reception']",https://www.zoopla.co.uk/for-sale/details/58626874/?search_identifier=4d7389722102d8fdfd4ad88e94643543
8,3 bed maisonette for sale,"£325,000","Chislehurst Road, Orpington, Kent BR6","['3 beds', '1 bath']",https://www.zoopla.co.uk/for-sale/details/46418462/?search_identifier=4d7389722102d8fdfd4ad88e94643543
9,1 bed flat for sale,"£220,000","Plevna Road, London N9",['1 bed'],https://www.zoopla.co.uk/for-sale/details/63474770/?search_identifier=4d7389722102d8fdfd4ad88e94643543
10,Detached house for sale,"£9,500,000","Compton Avenue, London N6",[],https://www.zoopla.co.uk/for-sale/details/63474652/?search_identifier=4d7389722102d8fdfd4ad88e94643543
